experiment,split,wer,cer,num_utts,epoch,train_loss
baseline_logmel_ctc,dev,0.8851412182314762,0.46727628029187634,2703,22,0.37833711035506573
baseline_logmel_transformer,dev,4.632516488451484,3.1691240351434016,2703,15,2.2829445807230955
hubert-base-ls960_layer9_ctc,dev,0.15790818879457744,0.05089327527443939,2703,43,0.00920385270139924
scale_100h_continuous_ctc,dev,0.08593011304007138,0.026082565818755822,2703,37,0.0311002817565853
scale_100h_units_k100_ctc,dev,0.19242089271097346,0.06995854974689603,2703,50,0.08475697882350267
scale_1h_continuous_ctc,dev,0.2864871424814057,0.09365531913005774,2703,23,0.009467250551097095
scale_1h_units_k100_ctc,dev,0.5570483665435016,0.2349234840050741,2703,31,0.027047494219409093
wav2vec2-base_layer9_ctc,dev,0.14988367743848469,0.046432707913183165,2703,22,0.011117578346842114
wavlm_continuous_transformer,dev,0.410470127824936,0.28337842775678634,2703,41,0.8275637349296856
wavlm_layer12_ctc,dev,0.1373277473621725,0.042526181197907055,2703,36,0.012029275264472545
wavlm_layer3_ctc,dev,0.47488989848433183,0.16263548799282712,2703,50,0.03002712998345408
wavlm_layer6_ctc,dev,0.3223973067260806,0.1032306747811092,2703,50,0.019757769503926784
wavlm_layer9_ctc,dev,0.14467948556268356,0.04632812661796932,2703,48,0.007771040334479313
wavlm_units_k100_ctc,dev,0.34088820974310047,0.13192793667041056,2703,49,0.029800227883600258
wavlm_units_k100_dedup_ctc,dev,0.42675347111977674,0.17183838182531322,2703,19,0.11468682580256048
wavlm_units_k100_dedup_duration_ctc,dev,0.4341142366241791,0.1712319864719296,2703,29,0.05888947858502065
wavlm_units_k100_transformer,dev,4.60776582109007,2.8847497342991186,2703,5,2.466933661113585
wavlm_units_k200_ctc,dev,0.2800197663194862,0.10103107898747367,2703,49,0.020864957362155004
wavlm_units_k50_ctc,dev,0.4714601160350435,0.20692488516135224,2703,44,0.061191055078511636
baseline_logmel_ctc,test-clean,0.8757849124495207,0.4464331232395215,2620,,
baseline_logmel_ctc,test-other,0.956451796454377,0.5843308511069994,2939,,
baseline_logmel_transformer,test-clean,4.545897187346443,3.218000449026114,2620,,
baseline_logmel_transformer,test-other,5.100051160528278,3.6913793256795064,2939,,
hubert-base-ls960_layer9_ctc,test-clean,0.1664403251809281,0.0536460319332742,2620,,
hubert-base-ls960_layer9_ctc,test-other,0.29094992306870376,0.10951113638395095,2939,,
scale_100h_continuous_ctc,test-clean,0.09051162684455809,0.02680364909301292,2620,,
scale_100h_continuous_ctc,test-other,0.1965951005080547,0.07204058626981447,2939,,
scale_100h_units_k100_ctc,test-clean,0.19620909883274076,0.07163098609381677,2620,,
scale_100h_units_k100_ctc,test-other,0.35666425060874674,0.1597596548008471,2939,,
scale_1h_continuous_ctc,test-clean,0.2879895273588626,0.09340164965497581,2620,,
scale_1h_continuous_ctc,test-other,0.40138287216879626,0.14792405917829088,2939,,
scale_1h_units_k100_ctc,test-clean,0.5563837073995948,0.23230189032073736,2620,,
scale_1h_units_k100_ctc,test-other,0.6429080551316314,0.3030958031947667,2939,,
wav2vec2-base_layer9_ctc,test-clean,0.1541722558408,0.04844959598256903,2620,,
wav2vec2-base_layer9_ctc,test-other,0.2558177936490238,0.09520423324856124,2939,,
wavlm_continuous_transformer,test-clean,0.40773138115818747,0.2767940128407694,2620,,
wavlm_continuous_transformer,test-other,0.5352262022522997,0.36727401022801415,2939,,
wavlm_layer12_ctc,test-clean,0.14079764781169268,0.044767747563566905,2620,,
wavlm_layer12_ctc,test-other,0.2347413187365177,0.08478133100632311,2939,,
wavlm_layer3_ctc,test-clean,0.4706905577577653,0.16256319624620583,2620,,
wavlm_layer3_ctc,test-other,0.67055130488635,0.2897765773640853,2939,,
wavlm_layer6_ctc,test-clean,0.32275779997791526,0.10332636953705321,2620,,
wavlm_layer6_ctc,test-other,0.5019412623599083,0.19373407478206472,2939,,
wavlm_layer9_ctc,test-clean,0.14924778723958815,0.048082361027682936,2620,,
wavlm_layer9_ctc,test-other,0.25804377440791776,0.0951108584096715,2939,,
wavlm_units_k100_ctc,test-clean,0.3470632891478265,0.13478824615403762,2620,,
wavlm_units_k100_ctc,test-other,0.47455261983388075,0.21601281896591354,2939,,
wavlm_units_k100_dedup_ctc,test-clean,0.4334146495329008,0.17481070234148635,2620,,
wavlm_units_k100_dedup_ctc,test-other,0.5433532009832795,0.2529428216896304,2939,,
wavlm_units_k100_dedup_duration_ctc,test-clean,0.43549600424027113,0.17114619257834743,2620,,
wavlm_units_k100_dedup_duration_ctc,test-other,0.5429099739183998,0.24843798953039456,2939,,
wavlm_units_k100_transformer,test-clean,4.556327599503944,2.9096425949480333,2620,,
wavlm_units_k100_transformer,test-other,5.124897630620334,3.3217740035800407,2939,,
wavlm_units_k200_ctc,test-clean,0.28097615674955884,0.10128916038702428,2620,,
wavlm_units_k200_ctc,test-other,0.40328142583147053,0.16950272574580322,2939,,
wavlm_units_k50_ctc,test-clean,0.47610559425481347,0.20861388192604768,2620,,
wavlm_units_k50_ctc,test-other,0.6014186756491596,0.3023043260477291,2939,,
